question,answer
What is Python?,"Python is a high-level programming language widely used in AI, ML, and data science for its simplicity and rich libraries."
What are Python lists?,Lists are mutable sequences in Python used to store multiple items in a single variable.
What is a Python dictionary?,A dictionary is a collection of key-value pairs used for fast lookups and mappings.
What is a Python tuple?,"A tuple is an immutable ordered sequence of elements, often used for fixed collections of data."
What is a Python set?,"A set is an unordered collection of unique elements, useful for membership tests and removing duplicates."
What is a list comprehension?,A list comprehension is a concise way to create lists using a single line of code with an expression and a loop.
What is a lambda function?,"A lambda function is a small anonymous function defined with the lambda keyword, used for short operations."
What is the difference between deep copy and shallow copy?,"A shallow copy copies references to nested objects, while a deep copy recursively copies all nested objects."
What are Python decorators?,Decorators are functions that modify the behavior of another function without changing its source code.
What is a generator in Python?,"A generator is a function that yields values one at a time using the yield keyword, saving memory for large datasets."
What is NumPy used for?,NumPy is a Python library used for fast numerical computations on arrays and matrices.
What is Pandas used for?,Pandas is a Python library for data manipulation and analysis using DataFrames and Series.
What is a DataFrame?,A DataFrame is a two-dimensional labeled data structure in Pandas similar to a table or spreadsheet.
What is Matplotlib used for?,"Matplotlib is a Python library used for creating static, animated, and interactive visualizations."
What is Seaborn?,Seaborn is a statistical data visualization library built on top of Matplotlib.
What is Scikit-learn?,"Scikit-learn is a Python library providing simple tools for machine learning such as classification, regression, and clustering."
What is TensorFlow?,TensorFlow is an open-source deep learning framework developed by Google for building and training neural networks.
What is PyTorch?,PyTorch is an open-source deep learning framework developed by Meta known for its dynamic computation graphs.
What is Keras?,Keras is a high-level neural network API that runs on top of TensorFlow for easy model building.
What is Jupyter Notebook?,"Jupyter Notebook is an interactive coding environment that allows mixing code, text, and visualizations in one document."
What is virtual environment in Python?,A virtual environment is an isolated Python environment that allows managing dependencies separately for different projects.
What is pip?,Pip is the package installer for Python used to install and manage libraries.
What is exception handling in Python?,Exception handling uses try-except blocks to catch and handle runtime errors gracefully.
What is object-oriented programming?,"Object-oriented programming organizes code into classes and objects, encapsulating data and behavior together."
What is inheritance in OOP?,Inheritance allows a class to derive properties and methods from another class.
What is polymorphism in OOP?,Polymorphism allows objects of different classes to be treated through a common interface.
What is encapsulation?,Encapsulation restricts direct access to an object's data by bundling it with methods that control access.
What is multithreading in Python?,Multithreading allows concurrent execution of multiple threads to improve performance for I/O-bound tasks.
What is multiprocessing in Python?,Multiprocessing runs separate processes in parallel to utilize multiple CPU cores for CPU-bound tasks.
What is the Global Interpreter Lock (GIL)?,The GIL is a mutex in Python that allows only one thread to execute Python bytecode at a time.
What is the difference between Python 2 and Python 3?,"Python 3 introduced improved Unicode support, print as a function, and is the actively maintained version, unlike the deprecated Python 2."
What is type casting in Python?,"Type casting converts a variable from one data type to another, such as int to float."
What is slicing in Python?,"Slicing extracts a subset of elements from sequences like lists or strings using start, stop, and step indices."
What are *args and **kwargs?,"*args allows passing a variable number of positional arguments, while **kwargs allows variable keyword arguments to a function."
What is recursion?,Recursion is a programming technique where a function calls itself to solve smaller instances of a problem.
What is the difference between is and == in Python?,"== checks value equality, while is checks whether two variables reference the same object in memory."
What is a Python module?,A module is a file containing Python code such as functions and classes that can be imported into other programs.
What is a Python package?,A package is a collection of related modules organized in directories with an __init__.py file.
What is PEP 8?,PEP 8 is the official style guide for writing readable and consistent Python code.
What is duck typing?,Duck typing means an object's suitability is determined by its methods and properties rather than its explicit type.
What is the difference between a function and a method?,"A function is a standalone block of code, while a method is a function defined within a class and tied to an object."
What is a docstring?,"A docstring is a string literal used to document the purpose of a function, class, or module."
What is the use of the __init__ method?,The __init__ method is a constructor automatically called when a new object of a class is created.
What are Python iterators?,Iterators are objects that implement __iter__ and __next__ methods to allow sequential traversal of elements.
What is the difference between append and extend in lists?,"Append adds a single element to a list, while extend adds elements from an iterable individually."
